1 100 1 20 50
-1000.0 -5002003017.0
-959.18367 -4414247608.61984
-918.36735 -3874438207.65673
-877.55102 -3380534583.15977
-836.73469 -2930496906.31161
-795.91837 -2522285305.30627
-755.10204 -2153859613.67579
-714.28571 -1823179969.61165
-673.46939 -1528206474.31423
-632.65306 -1266899016.80225
-591.83673 -1037217706.77417
-551.02041 -837122622.93483
-510.20408 -664573700.79338
-469.38776 -517531059.12092
-428.57143 -393954659.42228
-387.7551 -291804573.90339
-346.93878 -209040853.77239
-306.12245 -143623492.03079
-265.30612 -93512544.38649
-224.4898 -56668051.54711
-183.67347 -31050029.01458
-142.85714 -14618520.4969
-102.04082 -5333560.69929
-61.22449 -1155178.62786
-20.40816 -43410.48883
20.40816 41710.51685
61.22449 1140150.87516
102.04082 5291877.3835
142.85714 14536853.84711
183.67347 30915051.24025
224.4898 56466434.86589
265.30612 93230961.03725
306.12245 143248614.21321
346.93878 208559353.70412
387.7551 291203123.83309
428.57143 393219931.53983
469.38776 516649725.64396
510.20408 663532433.98039
551.02041 835908094.96588
591.83673 1035816589.91426
632.65306 1265297983.22494
673.46939 1526392196.23717
714.28571 1821139119.30961
755.10204 2151578863.31254
795.91837 2519751327.09946
836.73469 2927696372.54581
877.55102 3377454165.98896
918.36735 3871064579.29855
959.18367 4410567441.36866
1000.0 4998002983.0
