1 100 1 20 50
-1.0 -27.0
-0.95918 -26.12995
-0.91837 -25.3147
-0.87755 -24.55182
-0.83673 -23.83947
-0.79592 -23.17577
-0.7551 -22.55835
-0.71429 -21.98548
-0.67347 -21.45484
-0.63265 -20.96452
-0.59184 -20.5126
-0.55102 -20.09682
-0.5102 -19.71524
-0.46939 -19.36592
-0.42857 -19.04664
-0.38776 -18.75551
-0.34694 -18.49036
-0.30612 -18.24921
-0.26531 -18.03008
-0.22449 -17.83083
-0.18367 -17.64946
-0.14286 -17.48398
-0.10204 -17.33226
-0.06122 -17.1923
-0.02041 -17.06211
0.02041 -16.93956
0.06122 -16.82269
0.10204 -16.70939
0.14286 -16.59766
0.18367 -16.48548
0.22449 -16.37075
0.26531 -16.25147
0.30612 -16.12563
0.34694 -15.99111
0.38776 -15.84592
0.42857 -15.68805
0.46939 -15.51539
0.5102 -15.32597
0.55102 -15.11767
0.59184 -14.8885
0.63265 -14.63646
0.67347 -14.35941
0.71429 -14.05536
0.7551 -13.72235
0.79592 -13.35819
0.83673 -12.961
0.87755 -12.52856
0.91837 -12.05891
0.95918 -11.55016
1.0 -11.0
