1 100 -5 5 50
-3.14	-1.00159
-3.01184	-1.12098
-2.88367	-1.22199
-2.75551	-1.30295
-2.62735	-1.36254
-2.49918	-1.39978
-2.37102	-1.41406
-2.24286	-1.40514
-2.11469	-1.37317
-1.98653	-1.31868
-1.85837	-1.24256
-1.7302	-1.14605
-1.60204	-1.03075
-1.47388	-0.89854
-1.34571	-0.75158
-1.21755	-0.59231
-1.08939	-0.42332
-0.96122	-0.24737
-0.83306	-0.06738
-0.7049	0.11372
-0.57673	0.29296
-0.44857	0.46739
-0.32041	0.63415
-0.19224	0.79052
-0.06408	0.93391
0.06408	1.06198
0.19224	1.17264
0.32041	1.26406
0.44857	1.33475
0.57673	1.38354
0.7049	1.40963
0.83306	1.41261
0.96122	1.39241
1.08939	1.34937
1.21755	1.2842
1.34571	1.19797
1.47388	1.09207
1.60204	0.96827
1.7302	0.82859
1.85837	0.67531
1.98653	0.51096
2.11469	0.33823
2.24286	0.15994
2.37102	-0.02097
2.49918	-0.20152
2.62735	-0.37879
2.75551	-0.54983
2.88367	-0.71185
3.01184	-0.86221
3.14	-0.99841
