1 100 -5 5 50
0.0	0.0
0.08163	0.15694
0.16327	0.30247
0.2449	0.43811
0.32653	0.56513
0.40816	0.68457
0.4898	0.79728
0.57143	0.90397
0.65306	1.00526
0.73469	1.10166
0.81633	1.19364
0.89796	1.28156
0.97959	1.36578
1.06122	1.4466
1.14286	1.52428
1.22449	1.59906
1.30612	1.67113
1.38776	1.74071
1.46939	1.80794
1.55102	1.87299
1.63265	1.93598
1.71429	1.99706
1.79592	2.05632
1.87755	2.11388
1.95918	2.16982
2.04082	2.22425
2.12245	2.27724
2.20408	2.32885
2.28571	2.37917
2.36735	2.42825
2.44898	2.47616
2.53061	2.52294
2.61224	2.56866
2.69388	2.61335
2.77551	2.65707
2.85714	2.69985
2.93878	2.74174
3.02041	2.78277
3.10204	2.82297
3.18367	2.86238
3.26531	2.90103
3.34694	2.93894
3.42857	2.97615
3.5102	3.01268
3.59184	3.04856
3.67347	3.0838
3.7551	3.11844
3.83673	3.15248
3.91837	3.18595
4.0	3.21888
